id,predict_time,category,flag,ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
112,2021-06-30,population,1000 persons,2008-12-31,29764.390824164857,15932.703730826643,44141.020711908466,38153.523467444660,38153.523467444660,38153.523467444660,-8389.132643279805,-8389.132643279805,-8389.132643279805,-8389.13264327981,-8389.13264327981,-8389.13264327981,0,0,0
113,2021-06-30,population,1000 persons,2009-12-31,29923.651494875670,15623.589259857288,45622.427976173070,38342.557876007115,38342.557876007115,38342.557876007115,-8418.906381131445,-8418.906381131445,-8418.906381131445,-8418.90638113144,-8418.90638113144,-8418.90638113144,0,0,0
114,2021-06-30,population,1000 persons,2010-12-31,30088.896688801500,16219.515802385250,45187.039755486270,38531.592284569560,38531.592284569560,38531.592284569560,-8442.695595768062,-8442.695595768062,-8442.695595768062,-8442.69559576806,-8442.69559576806,-8442.69559576806,0,0,0
115,2021-06-30,population,1000 persons,2011-12-31,30260.155352065690,15986.278557258465,44728.723394535800,38720.626693132010,38720.626693132010,38720.626693132010,-8460.471341066324,-8460.471341066324,-8460.471341066324,-8460.47134106632,-8460.47134106632,-8460.47134106632,0,0,0
116,2021-06-30,population,1000 persons,2012-12-31,30521.046360903885,14957.789142168462,45785.788551427504,38910.179004183670,38910.179004183670,38910.179004183670,-8389.132643279785,-8389.132643279785,-8389.132643279785,-8389.13264327979,-8389.13264327979,-8389.13264327979,0,0,0
117,2021-06-30,population,1000 persons,2013-12-31,30680.307031614640,15685.526345757213,46099.545665638034,39099.213412746130,39099.213412746130,39099.213412746130,-8418.906381131494,-8418.906381131494,-8418.906381131494,-8418.90638113149,-8418.90638113149,-8418.90638113149,0,0,0
118,2021-06-30,population,1000 persons,2014-12-31,30845.552225540618,16162.564194668095,45358.858266952410,39288.247821308580,39288.247821308580,39288.247821308580,-8442.695595767960,-8442.695595767960,-8442.695595767960,-8442.69559576796,-8442.69559576796,-8442.69559576796,0,0,0
119,2021-06-30,population,1000 persons,2015-12-31,31016.810888804586,14729.524366828937,45582.577369413420,39477.282229871030,39477.282229871030,39477.282229871030,-8460.471341066444,-8460.471341066444,-8460.471341066444,-8460.47134106644,-8460.47134106644,-8460.47134106644,0,0,0
120,2021-06-30,population,1000 persons,2016-12-31,31277.701897642957,16285.646831979790,47009.215011290835,39666.834540922690,39666.834540922690,39666.834540922690,-8389.132643279732,-8389.132643279732,-8389.132643279732,-8389.13264327973,-8389.13264327973,-8389.13264327973,0,0,0
121,2021-06-30,population,1000 persons,2017-12-31,31436.962568353672,16160.971296934042,45652.585930204530,39855.868949485150,39855.868949485150,39855.868949485150,-8418.906381131477,-8418.906381131477,-8418.906381131477,-8418.90638113148,-8418.90638113148,-8418.90638113148,0,0,0
122,2021-06-30,population,1000 persons,2018-12-31,31602.207762279628,16291.203110669152,46071.941499108594,40044.903358047595,40044.903358047595,40044.903358047595,-8442.695595767966,-8442.695595767966,-8442.695595767966,-8442.69559576797,-8442.69559576797,-8442.69559576797,0,0,0
